"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
"1";"";"";"Factors";"";"Households";"";"";"";"";"";"";"Products/Sectors";"";"";"";"";"";"";"";""
"2";"";"";"K";"L";"1p";"2p";"3p";"4p";"5p";"6+p";"Firms";"Food";"Alcohol";"Clothing";"Health";"Culture";"Transport";"Sport";"Maintenance";"SUM"
"3";"Factors";"K";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34466149";"3632725";"21729475";"7221648";"35661097";"24204636";"7942571";"28580488";"163438789"
"4";"";"L";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8152061";"1276597";"14343325";"7407261";"9854065";"7133924";"21829663";"18236135";"88233031"
"5";"Households";"1p";"3819946";"3142925";"0";"0";"0";"0";"0";"0";"11123588";"0";"0";"0";"0";"0";"0";"0";"0";"18086459"
"6";"";"2p";"16049620";"15021295";"0";"0";"0";"0";"0";"0";"34074319";"0";"0";"0";"0";"0";"0";"0";"0";"65145234"
"7";"";"3p";"20584195";"26490619";"0";"0";"0";"0";"0";"0";"15306375";"0";"0";"0";"0";"0";"0";"0";"0";"62381189"
"8";"";"4p";"25020789";"29970102";"0";"0";"0";"0";"0";"0";"10362332";"0";"0";"0";"0";"0";"0";"0";"0";"65353223"
"9";"";"5p";"9982502";"9261196";"0";"0";"0";"0";"0";"0";"5486221";"0";"0";"0";"0";"0";"0";"0";"0";"24729919"
"10";"";"6+p";"7060051";"4346895";"0";"0";"0";"0";"0";"0";"4568851";"0";"0";"0";"0";"0";"0";"0";"0";"15975797"
"11";"";"Firms";"80921688";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80921688"
"12";"Products/Sectors";"Food";"0";"0";"4320221";"13612081";"13365686";"16598000";"8168980";"6470656";"0";"59105309";"6640413";"27489037";"8904584";"8604928";"15756264";"6108074";"5800394";"200944627"
"13";"";"Alcohol";"0";"0";"944946";"3963942";"4233087";"4748763";"2130165";"1537885";"0";"6600924";"976802";"349332";"317143";"141418";"129137";"307238";"169981";"26550763"
"14";"";"Clothing";"0";"0";"1372061";"4525390";"5506222";"6578550";"3024729";"2113976";"0";"31688977";"504995";"41452856";"1780215";"23180517";"9976762";"5111618";"19121778";"155938646"
"15";"";"Health";"0";"0";"1089015";"2893586";"2377873";"2608769";"1116764";"790691";"0";"6144723";"219355";"4090367";"3222146";"14718120";"3823482";"1026714";"2442305";"46563910"
"16";"";"Culture";"0";"0";"5741967";"26172721";"22251752";"17186479";"3378255";"652907";"0";"2329460";"11383306";"19115582";"6924587";"117732144";"14909508";"15162171";"15345400";"278286239"
"17";"";"Transport";"0";"0";"1000771";"4476298";"5584701";"6888551";"2603700";"1794938";"0";"22109724";"868601";"9919733";"3154537";"7625142";"24414642";"7994221";"13541132";"111976691"
"18";"";"Sport";"0";"0";"1165774";"3437497";"3846695";"4515731";"1777846";"1033802";"0";"8227063";"405916";"5971169";"2555899";"29439426";"3502929";"7283140";"7559445";"80722332"
"19";"";"Maintenance";"0";"0";"2451705";"6063719";"5215175";"6228379";"2529481";"1580940";"0";"22120237";"642053";"11477770";"5075891";"31329382";"8125406";"7956921";"31268511";"142065570"
"20";"";"SUM";"163438791";"88233032";"18086460";"65145234";"62381191";"65353222";"24729920";"15975795";"80921686";"200944627";"26550763";"155938646";"46563911";"278286239";"111976690";"80722331";"142065569";""
